,"Greece, EURIBOR, 12 Month, Fixing","Bahrain, BHIBOR, 1 Year, Fixing, Ask","Germany, EURIBOR, 12 Month, Fixing","United States, LIBOR, 12 Month, Fixing","United Kingdom, LIBOR, 12 Month, Fixing","Japan, LIBOR, 12 Month, Fixing","France, EURIBOR, 12 Month, Fixing","Singapore, 12 Month","Spain, LIBOR, 12 Month, Fixing","Switzerland, LIBOR, 12 Month, Fixing","Italy, LIBOR, 12 Month, Fixing","Belgium, EURIBOR, 12 Month, Fixing","Netherlands, EURIBOR, 12 Month, Fixing","Finland, EURIBOR, 12 Month, Fixing","Hong Kong, HIBOR, 12 Month, Fixing","Czech Republic, PRIBOR, 12 Month, Fixing","Portugal, EURIBOR, 12 Month, Fixing","Romania, ROBOR, 12 Month, Fixing","Denmark, CIBOR, 12 Month, Fixing"
01/02/1995,,3.75,5.7275,6.75,7.8125,2.4375,6.9414,3.88,10.1406,4.4375,11.2188,6.375,5.77,6.95,7.5,10.5,11.25,,
01/03/1995,,3.75,5.15042,6.8125,7.66406,1.76563,7.4766,3.5,10.7188,3.75,11.8438,6.3125,5.25,7.03,7,10.46,11.8283,,
01/04/1995,,3.75,4.92767,6.625,7.75,1.5625,7.2227,3.13,10.4844,3.6875,11.5,5.9375,4.9,6.6,6.88,10.42,11.563,,
01/05/1995,,3.75,4.62467,6,7.25,1.0625,6.7969,2.25,10.5625,3.4375,11.0313,5.35156,4.55,6.24,6.63,10.45,11,,
01/06/1995,,3.75,4.77125,5.98438,7.5625,1.0625,6.6875,2.63,10.5,3.39063,11.6563,5.12125,4.59,6.87,6.25,11.68,10.9845,,
01/07/1995,,3.75,4.65108,5.9375,7.1875,0.75,6.0703,3.25,10.3125,3.0625,11.1875,4.85,4.44,6.78,6,11.68,10.25,,
01/08/1995,,3.75,4.34917,5.9375,6.98438,0.8125,5.7852,3.25,9.74219,2.9375,10.625,4.55125,4.14,6.19,6.5,11.11,9.875,44.81,
01/09/1995,,3.75,4.115,6,6.875,0.53125,6.375,3.13,9.75,2.48438,10.9063,4.55125,4.02,6.2,6.38,11.12,9.8595,42.68,
01/10/1995,,3.75,4.1,5.8125,6.83594,0.5625,6.125,3.25,9.75,2.125,10.7656,4.4,4.05,5.56,6.13,11.24,9.563,42.86,
01/11/1995,,3.75,3.85292,5.625,6.42188,0.53125,5.7969,3,9.41406,1.9375,10.5703,4,3.75,4.71,6,11.17,9.0315,49.97,5.3
01/12/1995,,3.75,3.696,5.42578,6.375,0.5625,5.0313,2.88,9.03125,1.8125,10.1875,3.8,3.56,4.54,6,10.55,8.875,54.11,4.91
01/01/1996,,3.75,3.3,5.125,6.14844,0.71875,4.4375,3,8.53906,1.84375,9.4375,3.37,3.11,4.37,5.88,10.45,8.2657,55.25,4.49
01/02/1996,14.42,3.75,3.45708,5.3125,6.25,1.0625,4.5039,2.56,8.375,1.9375,9.5,3.48,3.33,4.55,5.38,10.8,8.063,57.19,4.7
01/03/1996,14.54,3.75,3.46933,5.72266,6.4375,0.83594,4.5,2.75,8.28125,1.9375,9.8125,3.5,3.26,4.27,5.88,11.22,7.845,58.17,4.485
01/04/1996,14.54,3.75,3.31775,5.8125,6.375,1.125,4,2.63,7.375,2,8.625,3.35,2.96,4.14,5.75,11.48,7.05,54.98,3.9675
01/05/1996,14.74,3.75,3.41617,6,6.4375,0.88672,4.1016,2.75,7.44531,2.75,8.4375,3.38,2.94,4.2,5.88,11.79,7.145,54.64,4.25
01/06/1996,15.3,3.75,3.681,6.125,6.125,0.96875,4.2383,3,7.25,2.8125,8.25,3.65,3.36,4.06,6.13,12.62,7.25,53.75,4.305
01/07/1996,14.43,3.75,3.58633,6.21875,6.08594,1.06641,4.125,3.56,7.39844,2.76563,8.49219,3.69,3.57,4.08,6.32031,12.84,7.35,52.98,4.345
01/08/1996,13.57,3.75,3.35833,6.09766,6.00781,0.70703,4.1875,3.63,7.25,2.375,8.375,3.49,3.19,3.84,6.25,12.43,7.1925,52.57,4.265
01/09/1996,13.38,3.75,3.27575,5.98828,6.25,0.70703,3.7539,3.5,6.86719,1.76563,7.79297,3.29,3.08,3.55,6.26563,12.42,7.0325,54.98,4.05
